Ano;Cod Mun;Espécie;Produção (Ton)
2024;1100700;Tilapia;3,78
2024;1100700;Traira e trairao;0
2024;1100700;Truta;0
2024;1100700;Tucunare;0
2024;1100700;Outros peixes;0
2024;1100809;Carpa;0
2024;1100809;Curimata e Curimbata;0
2024;1100809;Dourado;0
2024;1100809;Jatuarana, piabanha e piracanjuba;32,88
2024;1100809;Lambari;0
2024;1100809;Matrinxa;0,48
2024;1100809;Pacu e patinga;8,28
2024;1100809;Piau, piapara, piaucu, piava;0,48
2024;1100809;Pintado, cachara, cachapira, pintachara, surubim;6,803
2024;1100809;Pirapitinga;0,8
2024;1100809;Pirarucu;4,12
2024;1100809;Tambacu, tambatinga;29,933
2024;1100809;Tambaqui;299,329
2024;1100809;Tilapia;3,28
2024;1100809;Traira e trairao;0
2024;1100809;Truta;0
2024;1100809;Tucunare;0
2024;1100809;Outros peixes;1
2024;1100908;Carpa;0
2024;1100908;Curimata e Curimbata;0
2024;1100908;Dourado;0
2024;1100908;Jatuarana, piabanha e piracanjuba;0
2024;1100908;Lambari;0
2024;1100908;Matrinxa;0
2024;1100908;Pacu e patinga;0
2024;1100908;Piau, piapara, piaucu, piava;0,14
2024;1100908;Pintado, cachara, cachapira, pintachara, surubim;2,42
2024;1100908;Pirapitinga;0
2024;1100908;Pirarucu;0,99
2024;1100908;Tambacu, tambatinga;3,646
2024;1100908;Tambaqui;37,54
2024;1100908;Tilapia;2
2024;1100908;Traira e trairao;0
2024;1100908;Truta;0
2024;1100908;Tucunare;0
2024;1100908;Outros peixes;0
2024;1100924;Carpa;0
2024;1100924;Curimata e Curimbata;0
2024;1100924;Dourado;0
2024;1100924;Jatuarana, piabanha e piracanjuba;0,185
2024;1100924;Lambari;0
2024;1100924;Matrinxa;0,25
2024;1100924;Pacu e patinga;0,48
2024;1100924;Piau, piapara, piaucu, piava;0,34
2024;1100924;Pintado, cachara, cachapira, pintachara, surubim;2,091
2024;1100924;Pirapitinga;0
2024;1100924;Pirarucu;0,88
2024;1100924;Tambacu, tambatinga;7,25
2024;1100924;Tambaqui;78,98
2024;1100924;Tilapia;0,75
2024;1100924;Traira e trairao;0
2024;1100924;Truta;0
2024;1100924;Tucunare;0
2024;1100924;Outros peixes;0
2024;1100940;Carpa;0
2024;1100940;Curimata e Curimbata;0
2024;1100940;Dourado;0
2024;1100940;Jatuarana, piabanha e piracanjuba;1,05
2024;1100940;Lambari;0
2024;1100940;Matrinxa;1,48
2024;1100940;Pacu e patinga;5,45
2024;1100940;Piau, piapara, piaucu, piava;1,1
2024;1100940;Pintado, cachara, cachapira, pintachara, surubim;90,105
2024;1100940;Pirapitinga;0
2024;1100940;Pirarucu;28,78
2024;1100940;Tambacu, tambatinga;459,89
2024;1100940;Tambaqui;4490,644
2024;1100940;Tilapia;7,84
2024;1100940;Traira e trairao;0
2024;1100940;Truta;0
2024;1100940;Tucunare;0
2024;1100940;Outros peixes;0
2024;1101005;Carpa;0
2024;1101005;Curimata e Curimbata;0
2024;1101005;Dourado;0
2024;1101005;Jatuarana, piabanha e piracanjuba;1,25
2024;1101005;Lambari;0
2024;1101005;Matrinxa;0
2024;1101005;Pacu e patinga;0,38
2024;1101005;Piau, piapara, piaucu, piava;0,098
2024;1101005;Pintado, cachara, cachapira, pintachara, surubim;2,98
2024;1101005;Pirapitinga;0,04
2024;1101005;Pirarucu;1,02
2024;1101005;Tambacu, tambatinga;28,1
2024;1101005;Tambaqui;280,958
2024;1101005;Tilapia;0,5
2024;1101005;Traira e trairao;0
2024;1101005;Truta;0
2024;1101005;Tucunare;0
2024;1101005;Outros peixes;0
2024;1101104;Carpa;0
2024;1101104;Curimata e Curimbata;0
2024;1101104;Dourado;0
2024;1101104;Jatuarana, piabanha e piracanjuba;15,85
2024;1101104;Lambari;0
2024;1101104;Matrinxa;0
2024;1101104;Pacu e patinga;7,75
2024;1101104;Piau, piapara, piaucu, piava;0,415
2024;1101104;Pintado, cachara, cachapira, pintachara, surubim;15,85
2024;1101104;Pirapitinga;0
2024;1101104;Pirarucu;1,28
2024;1101104;Tambacu, tambatinga;10,87
2024;1101104;Tambaqui;382,49
2024;1101104;Tilapia;1,68
2024;1101104;Traira e trairao;0
2024;1101104;Truta;0
2024;1101104;Tucunare;0
2024;1101104;Outros peixes;0
2024;1101203;Carpa;0
2024;1101203;Curimata e Curimbata;0
2024;1101203;Dourado;0
2024;1101203;Jatuarana, piabanha e piracanjuba;2,35
2024;1101203;Lambari;0
2024;1101203;Matrinxa;0,13
2024;1101203;Pacu e patinga;1,64
2024;1101203;Piau, piapara, piaucu, piava;0,98
2024;1101203;Pintado, cachara, cachapira, pintachara, surubim;4,26
2024;1101203;Pirapitinga;0
2024;1101203;Pirarucu;0,88
2024;1101203;Tambacu, tambatinga;2,8
2024;1101203;Tambaqui;69,38
2024;1101203;Tilapia;0,42
2024;1101203;Traira e trairao;0
2024;1101203;Truta;0
2024;1101203;Tucunare;0
2024;1101203;Outros peixes;0
2024;1101302;Carpa;0
2024;1101302;Curimata e Curimbata;0,85
2024;1101302;Dourado;0
2024;1101302;Jatuarana, piabanha e piracanjuba;2,45
2024;1101302;Lambari;0
2024;1101302;Matrinxa;0
2024;1101302;Pacu e patinga;8,35
2024;1101302;Piau, piapara, piaucu, piava;1,83
2024;1101302;Pintado, cachara, cachapira, pintachara, surubim;35,68
2024;1101302;Pirapitinga;0
2024;1101302;Pirarucu;23,2
2024;1101302;Tambacu, tambatinga;0
2024;1101302;Tambaqui;1842,45
2024;1101302;Tilapia;2
2024;1101302;Traira e trairao;0
2024;1101302;Truta;0
2024;1101302;Tucunare;0
2024;1101302;Outros peixes;5,2
2024;1101401;Carpa;0
2024;1101401;Curimata e Curimbata;0
2024;1101401;Dourado;0
2024;1101401;Jatuarana, piabanha e piracanjuba;0,23
2024;1101401;Lambari;0
2024;1101401;Matrinxa;0,56
2024;1101401;Pacu e patinga;3,58
2024;1101401;Piau, piapara, piaucu, piava;0,48
2024;1101401;Pintado, cachara, cachapira, pintachara, surubim;4,78
2024;1101401;Pirapitinga;0
2024;1101401;Pirarucu;12,32
2024;1101401;Tambacu, tambatinga;73,164
2024;1101401;Tambaqui;731,638
2024;1101401;Tilapia;1,35
2024;1101401;Traira e trairao;0
2024;1101401;Truta;0
2024;1101401;Tucunare;0
2024;1101401;Outros peixes;2,78
2024;1101435;Carpa;0
2024;1101435;Curimata e Curimbata;0
2024;1101435;Dourado;0
2024;1101435;Jatuarana, piabanha e piracanjuba;4,02
